"X","BC07_tumor","BC07","BC08_tumor","BC08","BC09_tumor","BC09","BC10_tumor","BC10","GENENAME"
"Cops5",1954,1950,1488,1861,2002,1960,1537,2052,"COP9 signalosome subunit 5"
"Cspp1",274,309,318,399,321,430,270,457,"centrosome and spindle pole associated protein 1"
"Arfgef1",1770,2130,2281,2004,2558,2854,1960,3242,"ARF guanine nucleotide exchange factor 1"
"Cpa6",3,0,23,32,6,0,51,63,"carboxypeptidase A6"
"Prex2",487,319,890,49,202,28,102,81,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"A830018L16Rik",0,0,7,0,7,0,7,1,"RIKEN cDNA A830018L16 gene"
"Sulf1",697,243,5406,249,1201,72,2474,556,"sulfatase 1"
"Slco5a1",31,27,541,19,752,510,120,76,"solute carrier organic anion transporter family, member 5A1"
"Prdm14",0,0,0,0,0,0,0,0,"PR domain containing 14"
"Ncoa2",773,1174,946,1198,1222,786,812,1174,"nuclear receptor coactivator 2"
"Tram1",1667,1876,2695,2198,2695,2392,2312,2306,"translocating chain-associating membrane protein 1"
"Lactb2",524,614,640,605,887,871,689,1178,"lactamase, beta 2"
"Xkr9",0,0,0,0,4,0,0,0,"X-linked Kx blood group related 9"
"Eya1",124,185,191,438,1276,650,108,392,"EYA transcriptional coactivator and phosphatase 1"
"Msc",2,0,6,1,11,16,4,0,"musculin"
"Trpa1",40,39,0,3,3,7,11,23,"transient receptor potential cation channel, subfamily A, member 1"
"Kcnb2",0,0,0,0,0,0,0,0,"potassium voltage gated channel, Shab-related subfamily, member 2"
"Terf1",481,522,336,390,526,467,336,582,"telomeric repeat binding factor 1"
"Sbspon",62,12,6,3,12,5,3,5,"somatomedin B and thrombospondin, type 1 domain containing"
"4930444P10Rik",0,0,3,3,1,2,1,1,"RIKEN cDNA 4930444P10 gene"
"Rpl7",17578,21099,14316,23660,27778,23946,17720,22538,"ribosomal protein L7"
"Rdh10",648,446,583,261,657,584,592,488,"retinol dehydrogenase 10 (all-trans)"
"Stau2",290,282,399,276,665,222,447,479,"staufen double-stranded RNA binding protein 2"
"Ube2w",605,621,918,548,1031,547,759,805,"ubiquitin-conjugating enzyme E2W (putative)"
"Eloc",1640,1700,1857,1454,2000,1573,1901,2405,"elongin C"
"Tmem70",1464,1451,1830,1479,2432,1412,1710,1847,"transmembrane protein 70"
"Ly96",31,19,68,28,61,60,51,71,"lymphocyte antigen 96"
"Jph1",154,169,311,251,328,385,346,556,"junctophilin 1"
"Gdap1",8,5,16,26,8,2,14,4,"ganglioside-induced differentiation-associated-protein 1"
"Pi15",4,14,675,60,85,2,317,148,"peptidase inhibitor 15"
"Crispld1",53,31,24,2,4,1,6,5,"cysteine-rich secretory protein LCCL domain containing 1"
"Crisp4",0,0,0,0,0,0,0,0,"cysteine-rich secretory protein 4"
"Defb18",0,0,0,0,0,0,0,0,"defensin beta 18"
"Defb41",0,0,0,0,0,0,0,0,"defensin beta 41"
"Gm28343",0,0,0,0,0,0,0,0,"predicted gene 28343"
"Tfap2d",0,0,0,0,0,0,0,0,"transcription factor AP-2, delta"
"Tfap2b",0,8,23,1,173,58,4,0,"transcription factor AP-2 beta"
"Pkhd1",0,6,2,0,0,0,2,0,"polycystic kidney and hepatic disease 1"
"Il17a",0,0,0,0,0,0,0,0,"interleukin 17A"
"Il17f",3,6,0,4,1,0,0,2,"interleukin 17F"
"Mcm3",4641,5201,2414,3700,3632,5289,3250,6441,"minichromosome maintenance complex component 3"
"Paqr8",209,221,327,202,125,54,251,236,"progestin and adipoQ receptor family member VIII"
"Efhc1",32,36,24,61,96,15,56,30,"EF-hand domain (C-terminal) containing 1"
"Tram2",264,275,459,112,233,300,267,235,"translocating chain-associating membrane protein 2"
"Tmem14a",25,23,57,68,55,21,37,22,"transmembrane protein 14A"
"Gsta3",1,2,21,1,4,2,2,0,"glutathione S-transferase, alpha 3"
"Gm7094",0,0,0,0,0,0,0,0,"predicted pseudogene 7094"
"Khdc1a",0,0,0,0,0,0,0,0,"KH domain containing 1A"
"Khdc1c",0,0,0,0,0,0,0,0,"KH domain containing 1C"
"Khdc1b",0,0,0,0,0,0,0,0,"KH domain containing 1B"
"Kcnq5",135,130,90,193,232,240,128,195,"potassium voltage-gated channel, subfamily Q, member 5"
"Rims1",2,4,9,0,0,0,3,0,"regulating synaptic membrane exocytosis 1"
"Ppp1r14bl",0,0,1,0,0,0,0,0,"protein phosphatase 1, regulatory inhibitor subunit 14B like"
"Ogfrl1",211,152,275,273,340,190,290,290,"opioid growth factor receptor-like 1"
"B3gat2",3,9,7,6,13,13,7,6,"beta-1,3-glucuronyltransferase 2"
"Smap1",514,585,775,571,695,714,678,897,"small ArfGAP 1"
"Sdhaf4",149,151,125,156,202,153,154,179,"succinate dehydrogenase complex assembly factor 4"
"Fam135a",543,618,609,783,1004,781,664,834,"family with sequence similarity 135, member A"
"Col9a1",266,194,2,107,792,11,0,0,"collagen, type IX, alpha 1"
"Col19a1",1,6,8,1,1,3,0,0,"collagen, type XIX, alpha 1"
"Lmbrd1",493,562,724,633,709,545,486,518,"LMBR1 domain containing 1"
"Adgrb3",0,0,3,0,7,0,2,0,"adhesion G protein-coupled receptor B3"
"Gm20172",0,0,0,0,0,0,0,0,"predicted gene, 20172"
"Spata31e2",0,0,0,0,0,0,0,0,"spermatogenesis associated 31 subfamily E member 2"
"Spata31e5",0,2,0,0,0,0,0,0,"spermatogenesis associated 31 subfamily E member 5"
"Gm6462",0,0,0,0,0,0,0,0,"predicted gene 6462"
"Gm46086",0,0,0,0,0,0,0,0,"predicted gene, 46086"
"Phf3",1783,2146,2050,2404,2399,2976,1951,3192,"PHD finger protein 3"
"Ptp4a1",1916,2175,3462,2287,3073,3764,2774,4723,"protein tyrosine phosphatase 4a1"
"Lgsn",0,0,0,0,0,0,0,0,"lengsin, lens protein with glutamine synthetase domain"
"Dnaaf6rt",0,0,0,0,0,0,0,0,"dynein axonemal assembly factor 6, retrotransposed"
"Khdrbs2",0,4,5,1,0,0,0,0,"KH domain containing, RNA binding, signal transduction associated 2"
"Gm9839",0,4,0,0,0,0,0,0,"predicted gene 9839"
"Semp2l1",0,11,0,1,0,0,0,0,"SUMO/sentrin specific peptidase 2-like 1"
"Prim2",643,726,669,889,1034,973,740,932,"DNA primase, p58 subunit"
"Rab23",582,532,1080,763,693,813,960,1127,"RAB23, member RAS oncogene family"
"Bag2",1152,1269,2359,1098,1514,1299,1517,2118,"BCL2-associated athanogene 2"
"Zfp451",719,665,637,739,945,839,562,1016,"zinc finger protein 451"
"Gm15455",13,22,7,19,4,19,8,18,"predicted gene 15455"
"Bend6",60,66,65,89,329,117,84,154,"BEN domain containing 6"
"Dst",3665,3259,6854,4145,5292,4436,4515,7530,"dystonin"
"Ccdc115",557,494,321,313,483,414,306,461,"coiled-coil domain containing 115"
"Imp4",1594,2010,1166,1770,1893,2794,1288,2247,"IMP4, U3 small nucleolar ribonucleoprotein"
"Ptpn18",17,14,9,5,22,7,8,5,"protein tyrosine phosphatase, non-receptor type 18"
"Prss39",0,0,0,0,0,0,0,0,"serine protease 39"
"Cfc1",96,69,0,0,6,0,0,0,"cryptic, EGF-CFC family member 1"
"Prss40",18,6,0,0,0,0,0,0,"serine protease 40"
"Amer3",1,5,0,0,0,0,0,0,"APC membrane recruitment 3"
"Arhgef4",1,1,8,11,24,10,5,1,"Rho guanine nucleotide exchange factor 4"
"Smim39",0,0,0,0,0,0,0,0,"small integral membrane protein 39"
"Fam168b",3376,4008,4037,4446,5952,5285,4565,6947,"family with sequence similarity 168, member B"
"Plekhb2",422,443,1620,334,1604,1267,1286,1386,"pleckstrin homology domain containing, family B (evectins) member 2"
"Hs6st1",1124,1701,1769,1045,1505,1349,1835,1665,"heparan sulfate 6-O-sulfotransferase 1"
"Uggt1",3187,3477,4582,3127,3572,4221,3770,4747,"UDP-glucose glycoprotein glucosyltransferase 1"
"Neurl3",21,3,54,0,7,10,27,6,"neuralized E3 ubiquitin protein ligase 3"
"Arid5a",257,76,244,212,368,185,182,127,"AT-rich interaction domain 5A"
"Kansl3",1179,1133,1143,1279,1827,1357,1252,1902,"KAT8 regulatory NSL complex subunit 3"
"Fer1l5",2,0,0,0,1,2,0,0,"fer-1 like family member 5"
"Lman2l",306,349,465,840,750,406,354,439,"lectin, mannose-binding 2-like"
"Cnnm4",281,319,765,307,599,927,339,603,"cyclin M4"
"Cnnm3",509,557,429,602,613,588,366,729,"cyclin M3"
"Ankrd23",161,79,71,98,120,98,39,69,"ankyrin repeat domain 23"
"Ankrd39",206,142,154,177,190,112,85,146,"ankyrin repeat domain 39"
"Sema4c",768,628,600,533,658,229,636,525,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"Fam178b",2,7,1,8,20,0,0,0,"family with sequence similarity 178, member B"
"Cox5b",1680,1710,1247,1690,2099,1656,1349,1745,"cytochrome c oxidase subunit 5B"
"Actr1b",2831,3087,3610,2580,3969,4054,3499,4373,"ARP1 actin-related protein 1B, centractin beta"
"4933424G06Rik",0,0,1,0,0,0,0,4,"RIKEN cDNA 4933424G06 gene"
"Zap70",12,1,0,1,0,0,1,0,"zeta-chain (TCR) associated protein kinase"
"Tmem131",2619,2815,2689,2634,3137,3974,2398,3981,"transmembrane protein 131"
"Vwa3b",1,2,15,0,7,0,5,0,"von Willebrand factor A domain containing 3B"
"Cnga3",0,2,0,0,0,0,0,0,"cyclic nucleotide gated channel alpha 3"
"Inpp4a",305,250,290,260,253,204,203,230,"inositol polyphosphate-4-phosphatase, type I"
"Coa5",1215,1500,2021,1367,2262,2075,1717,2398,"cytochrome C oxidase assembly factor 5"
"Unc50",560,455,635,571,634,548,481,556,"unc-50 homolog"
"Mgat4a",150,162,240,70,287,114,180,141,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
"Cracdl",15,19,24,2,246,256,1,2,"capping protein inhibiting regulator of actin like"
"Tsga10",36,36,48,63,60,63,28,52,"testis specific 10"
"Lipt1",85,90,94,97,125,86,50,154,"lipoyltransferase 1"
"Mitd1",261,226,174,162,271,218,167,249,"MIT, microtubule interacting and transport, domain containing 1"
"Mrpl30",991,1050,747,924,1341,1314,796,1210,"mitochondrial ribosomal protein L30"
"Lyg2",0,2,0,0,0,0,0,3,"lysozyme G-like 2"
"Lyg1",0,0,0,0,0,0,0,0,"lysozyme G-like 1"
"Txndc9",1163,1113,1102,1196,1452,1457,1147,1607,"thioredoxin domain containing 9"
"Eif5b",2947,3843,3066,3575,3688,4510,3423,4978,"eukaryotic translation initiation factor 5B"
"Rev1",516,524,327,623,702,740,487,824,"REV1, DNA directed polymerase"
"Aff3",820,882,400,551,1896,748,236,527,"AF4/FMR2 family, member 3"
"Lonrf2",1,16,10,21,8,6,1,5,"LON peptidase N-terminal domain and ring finger 2"
"Chst10",414,427,83,88,66,31,92,116,"carbohydrate sulfotransferase 10"
"Nms",0,0,2,0,2,0,0,0,"neuromedin S"
"Pdcl3",1317,1185,1886,1064,1574,1463,1414,1564,"phosducin-like 3"
"Npas2",3,1,34,4,16,0,19,0,"neuronal PAS domain protein 2"
"Rpl31",8885,8977,7396,9981,15530,11510,8463,11706,"ribosomal protein L31"
"Tbc1d8",28,45,55,19,74,23,38,32,"TBC1 domain family, member 8"
"Cnot11",898,1009,845,914,1041,1243,874,1275,"CCR4-NOT transcription complex, subunit 11"
"Rnf149",827,1022,1503,1137,1427,1389,998,1325,"ring finger protein 149"
"Creg2",5,6,6,1,0,0,4,0,"cellular repressor of E1A-stimulated genes 2"
"Rfx8",5,13,5,3,3,1,0,1,"regulatory factor X 8"
"Map4k4",3451,4347,6674,5488,7055,5632,6758,7938,"mitogen-activated protein kinase kinase kinase kinase 4"
"Il1r2",11,14,16,11,23,2,25,4,"interleukin 1 receptor, type II"
"Il1r1",606,366,1886,1086,668,249,2623,956,"interleukin 1 receptor, type I"
"Il1rl2",114,77,477,48,412,73,448,126,"interleukin 1 receptor-like 2"
"Il1rl1",184,36,994,262,1588,676,1352,732,"interleukin 1 receptor-like 1"
"Il18r1",34,8,1,1,6,0,0,2,"interleukin 18 receptor 1"
"Il18rap",7,18,36,1,39,54,63,57,"interleukin 18 receptor accessory protein"
"Slc9a4",0,0,1,0,0,0,2,0,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
"Slc9a2",3,0,14,0,12,5,0,0,"solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"Mfsd9",26,64,91,58,98,40,69,47,"major facilitator superfamily domain containing 9"
"Tmem182",0,0,15,0,0,0,0,0,"transmembrane protein 182"
"Pou3f3",0,1,0,3,11,0,3,0,"POU domain, class 3, transcription factor 3"
"Mrps9",775,900,479,658,1300,1132,646,952,"mitochondrial ribosomal protein S9"
"Gpr45",5,3,0,2,0,2,2,1,"G protein-coupled receptor 45"
"Tgfbrap1",507,515,709,534,734,709,577,695,"transforming growth factor, beta receptor associated protein 1"
"AI597479",548,586,438,687,937,679,552,632,"expressed sequence AI597479"
"Fhl2",849,604,2428,547,1152,786,2298,2739,"four and a half LIM domains 2"
"Nck2",492,641,612,598,950,578,665,759,"non-catalytic region of tyrosine kinase adaptor protein 2"
"Ecrg4",5,4,33,391,13,1,7,7,"ECRG4 augurin precursor"
"Uxs1",1133,1311,1097,1395,1448,1406,1135,1590,"UDP-glucuronate decarboxylase 1"
"Tpp2",2098,2426,2329,2354,2427,3568,2238,3682,"tripeptidyl peptidase II"
"Mettl21c",1,0,0,0,0,1,0,2,"methyltransferase 21C, AARS1 lysine"
"Ccdc168",47,41,11,13,21,49,19,32,"coiled-coil domain containing 168"
"Tex30",673,801,456,480,684,852,467,858,"testis expressed 30"
"Poglut2",1032,1120,828,1191,1413,1084,1099,1355,"protein O-glucosyltransferase 2"
"Bivm",428,456,406,524,652,496,467,689,"basic, immunoglobulin-like variable motif containing"
"Ercc5",411,375,439,538,445,486,289,322,"excision repair cross-complementing rodent repair deficiency, complementation group 5"
"Mettl21e",0,0,0,0,0,0,0,0,"methyltransferase like 21E"
"Gulp1",264,216,1340,728,1289,607,1127,774,"GULP, engulfment adaptor PTB domain containing 1"
"Col3a1",2308,1697,61001,32347,33526,2433,82754,25167,"collagen, type III, alpha 1"
"Col5a2",4808,2306,63327,15005,19910,8632,38519,32231,"collagen, type V, alpha 2"
"Wdr75",2142,2410,1869,2211,2969,3557,2195,3510,"WD repeat domain 75"
"Slc40a1",60,102,33,32,163,73,293,216,"solute carrier family 40 (iron-regulated transporter), member 1"
"Dnah7b",12,13,12,15,60,27,16,19,"dynein, axonemal, heavy chain 7B"
"Dnah7c",5,9,3,5,6,11,7,7,"dynein, axonemal, heavy chain 7C"
"Slc39a10",1249,1588,1303,1550,1386,1724,1190,1757,"solute carrier family 39 (zinc transporter), member 10"
"Tmeff2",3,5,57,41,15,8,26,43,"transmembrane protein with EGF-like and two follistatin-like domains 2"
"Cavin2",93,52,1571,155,234,16,2115,3007,"caveolae associated 2"
"Nabp1",198,151,683,120,539,473,524,582,"nucleic acid binding protein 1"
"Myo1b",943,968,1596,1039,1452,569,2735,2465,"myosin IB"
"Stat4",1,3,0,1,0,0,2,0,"signal transducer and activator of transcription 4"
"Stat1",4063,474,547,523,648,328,546,384,"signal transducer and activator of transcription 1"
"Gls",3131,3643,5183,4106,5073,6842,3612,7402,"glutaminase"
"Nab1",1320,1333,1477,1047,1947,1468,1689,1684,"Ngfi-A binding protein 1"
"Nemp2",149,113,87,167,192,75,108,113,"nuclear envelope integral membrane protein 2"
"Mfsd6",98,129,239,54,201,52,112,52,"major facilitator superfamily domain containing 6"
"Inpp1",784,636,229,284,172,124,167,152,"inositol polyphosphate-1-phosphatase"
"Hibch",460,583,255,375,574,342,324,434,"3-hydroxyisobutyryl-Coenzyme A hydrolase"
"1700019D03Rik",6,11,1,1,125,2,0,2,"RIKEN cDNA 1700019D03 gene"
"Mstn",0,0,0,0,1,0,0,0,"myostatin"
"1700019A02Rik",0,4,0,0,0,3,0,1,"RIKEN cDNA 1700019A02 gene"
"Pms1",305,289,138,258,307,226,179,283,"PMS1 homolog 1, mismatch repair system component"
"Ormdl1",296,326,276,266,486,279,285,355,"ORM1-like 1 (S. cerevisiae)"
"Osgepl1",168,213,132,202,334,202,171,216,"O-sialoglycoprotein endopeptidase-like 1"
"Asnsd1",755,923,728,1138,1206,1071,889,978,"asparagine synthetase domain containing 1"
"Asdurf",0,0,0,0,0,0,0,0,"Asnsd1 upstream reading frame"
"Dnah7a",0,0,0,3,3,0,5,0,"dynein, axonemal, heavy chain 7A"
"Stk17b",406,443,536,372,387,409,888,849,"serine/threonine kinase 17b (apoptosis-inducing)"
"Hecw2",5,5,61,17,20,10,35,40,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"Ccdc150",17,13,10,11,7,9,11,4,"coiled-coil domain containing 150"
"Gtf3c3",627,790,711,840,881,938,717,922,"general transcription factor IIIC, polypeptide 3"
"Gm34066",0,0,0,0,0,0,0,1,"predicted gene, 34066"
"Pgap1",162,292,516,438,310,212,256,199,"post-GPI attachment to proteins 1"
"Ankrd44",613,401,845,438,1610,576,623,283,"ankyrin repeat domain 44"
"Sf3b1",5771,6446,6058,6514,6538,7708,6394,9728,"splicing factor 3b, subunit 1"
"Coq10b",313,253,1147,214,542,833,569,807,"coenzyme Q10B"
"Hspd1",17100,24322,11427,17931,18874,30684,16038,33840,"heat shock protein 1 (chaperonin)"
"Hspe1",4142,4926,2611,4070,3937,6702,3495,6618,"heat shock protein 1 (chaperonin 10)"
"Mob4",974,1198,1148,1253,1354,1177,998,1264,"MOB family member 4, phocein"
"Rftn2",402,164,196,195,135,24,245,240,"raftlin family member 2"
"Mars2",449,567,295,402,570,668,246,609,"methionine-tRNA synthetase 2 (mitochondrial)"
"Boll",116,92,57,81,63,56,29,89,"boule homolog, RNA binding protein"
"Btf3-ps17",0,0,0,1,0,1,0,0,"basic transcription factor 3, pseudogene 17"
"Plcl1",25,14,439,95,135,111,82,131,"phospholipase C-like 1"
"Hsfy2",0,0,0,0,0,0,0,0,"heat shock transcription factor, Y-linked 2"
"Satb2",222,305,139,371,177,359,77,205,"special AT-rich sequence binding protein 2"
"1700066M21Rik",267,292,319,271,429,398,289,425,"RIKEN cDNA 1700066M21 gene"
"Tyw5",239,174,272,196,388,271,271,313,"tRNA-yW synthesizing protein 5"
"Maip1",388,336,364,366,526,432,344,473,"matrix AAA peptidase interacting protein 1"
"Spats2l",163,58,309,280,825,286,1208,488,"spermatogenesis associated, serine-rich 2-like"
"Kctd18",173,194,235,250,257,160,240,218,"potassium channel tetramerisation domain containing 18"
"Sgo2a",739,866,743,785,716,860,840,1312,"shugoshin 2A"
"Aox1",113,67,81,78,93,42,85,183,"aldehyde oxidase 1"
"Aox3",21,15,18,18,3,0,0,2,"aldehyde oxidase 3"
"Aox4",16,14,0,7,0,0,0,0,"aldehyde oxidase 4"
"Aox2",30,10,0,0,0,0,0,1,"aldehyde oxidase 2"
"Gm53481",24,13,7,10,11,10,10,20,"predicted gene, 53481"
"Bzw1",7418,8851,7552,6574,7114,10332,7385,12491,"basic leucine zipper and W2 domains 1"
"Clk1",812,650,681,882,1032,658,586,903,"CDC-like kinase 1"
"Ppil3",320,282,328,355,361,401,302,509,"peptidylprolyl isomerase (cyclophilin)-like 3"
"Nif3l1",739,874,569,856,1071,914,636,1006,"Ngg1 interacting factor 3-like 1 (S. pombe)"
"Orc2",1457,1601,1015,1209,2221,2325,1353,2625,"origin recognition complex, subunit 2"
"Hycc2",224,233,245,281,260,295,175,343,"hyccin PI4KA lipid kinase complex subunit 2"
"Ndufb3",600,577,417,589,548,536,346,654,"NADH:ubiquinone oxidoreductase subunit B3"
"Flacc1",0,0,7,0,5,2,12,36,"flagellum associated containing coiled-coil domains 1"
"Cflar",447,385,1351,539,876,615,752,1082,"CASP8 and FADD-like apoptosis regulator"
"Casp8",457,375,713,553,574,340,595,543,"caspase 8"
"Gm28802",2,1,0,2,4,3,7,1,"predicted gene 28802"
"Trak2",1267,1397,1858,1470,1563,1778,1237,1513,"trafficking protein, kinesin binding 2"
"Stradb",118,108,207,177,196,111,159,156,"STE20-related kinase adaptor beta"
"C2cd6",0,1,0,1,0,0,0,1,"C2 calcium dependent domain containing 6"
"Tmem237",423,445,391,620,688,496,425,556,"transmembrane protein 237"
"Mpp4",1,3,3,2,0,0,2,5,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
"Als2",454,469,682,620,443,485,579,804,"alsin Rho guanine nucleotide exchange factor"
"Cdk15",1,3,0,2,17,1,9,0,"cyclin dependent kinase 15"
"Fzd7",1648,1634,4375,1889,3087,3069,2286,2820,"frizzled class receptor 7"
"Gm973",3,3,2,8,18,1,5,3,"predicted gene 973"
"Sumo1",2129,2286,1345,1871,2779,2331,1988,2285,"small ubiquitin-like modifier 1"
"Nop58",4393,4840,3165,4251,6241,7213,3881,7854,"NOP58 ribonucleoprotein"
"Bmpr2",1787,2042,2798,2353,2219,2034,1813,2298,"bone morphogenetic protein receptor type 2"
"Fam117b",1002,1229,548,997,979,1121,828,942,"family with sequence similarity 117, member B"
"Ica1l",8,4,82,12,21,19,3,5,"islet cell autoantigen 1-like"
"Wdr12",1447,1694,962,1438,1871,2176,1142,2504,"WD repeat domain 12"
"Carf",99,131,122,202,217,109,114,102,"calcium response factor"
"Nbeal1",534,517,962,424,623,480,486,535,"neurobeachin like 1"
"Cyp20a1",709,809,1020,1088,1285,956,968,1186,"cytochrome P450, family 20, subfamily a, polypeptide 1"
"Abi2",165,236,258,338,395,339,195,328,"abl interactor 2"
"Raph1",327,374,2037,500,694,588,1558,1417,"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"Gm11578",0,1,12,1,7,1,1,1,"predicted gene 11578"
"Cd28",2,2,0,0,1,0,3,3,"CD28 antigen"
"Ctla4",0,0,0,0,0,0,0,0,"cytotoxic T-lymphocyte-associated protein 4"
"Icos",3,0,16,8,10,11,0,10,"inducible T cell co-stimulator"
"Pard3b",81,88,109,132,101,42,109,106,"par-3 family cell polarity regulator beta"
"Nrp2",4130,4671,4973,4566,4256,5115,6462,8798,"neuropilin 2"
"Ino80d",1093,1082,786,869,766,911,608,1152,"INO80 complex subunit D"
"Ndufs1",2128,2724,1659,2218,2395,2777,1715,2907,"NADH:ubiquinone oxidoreductase core subunit S1"
"Eef1b2",8196,8383,7508,11697,14385,10151,8949,12135,"eukaryotic translation elongation factor 1 beta 2"
"Cmklr2",0,2,4,1,4,0,0,1,"chemerin chemokine-like receptor 2"
"Zdbf2",18,15,11,4,12,4,2,15,"zinc finger, DBF-type containing 2"
"Adam23",5,25,373,100,131,5,120,17,"a disintegrin and metallopeptidase domain 23"
"Fam237a",0,0,0,0,0,0,0,0,"family with sequence similarity 237, member A"
"Dytn",0,0,0,0,0,0,0,0,"dystrotelin"
"Mdh1b",2,5,2,12,2,0,1,1,"malate dehydrogenase 1B, NAD (soluble)"
"Fastkd2",621,875,400,673,729,755,413,719,"FAST kinase domains 2"
"Klf7",677,748,1274,725,1155,749,963,1438,"Kruppel-like transcription factor 7 (ubiquitous)"
"Creb1",1008,1342,1069,1586,1777,1221,1041,1456,"cAMP responsive element binding protein 1"
"Mettl21a",255,312,341,399,414,288,370,329,"methyltransferase 21A, HSPA lysine"
"Ccnyl1",460,755,1876,694,1106,1072,922,1082,"cyclin Y-like 1"
"Fzd5",177,465,812,199,242,274,148,190,"frizzled class receptor 5"
"Plekhm3",248,287,399,250,463,286,267,228,"pleckstrin homology domain containing, family M, member 3"
"Akr1cl",1,0,0,6,1,0,0,0,"aldo-keto reductase family 1, member C-like"
"Cryge",0,0,0,0,4,0,0,0,"crystallin, gamma E"
"Crygd",0,0,0,1,0,0,0,0,"crystallin, gamma D"
"Crygc",0,0,0,0,0,0,0,0,"crystallin, gamma C"
"Crygb",0,0,0,0,0,0,0,0,"crystallin, gamma B"
"Cryga",0,0,0,0,0,0,0,0,"crystallin, gamma A"
"D630023F18Rik",2,0,0,5,0,0,1,0,"RIKEN cDNA D630023F18 gene"
"Idh1",742,1105,1361,1505,1414,537,1993,1558,"isocitrate dehydrogenase 1 (NADP+), soluble"
"Pikfyve",590,609,644,713,933,741,688,834,"phosphoinositide kinase, FYVE type zinc finger containing"
"Pth2r",3,0,3,2,0,0,3,0,"parathyroid hormone 2 receptor"
"Crygf",0,0,0,0,0,0,0,0,"crystallin, gamma F"
"Map2",50,41,38,185,135,21,6,8,"microtubule-associated protein 2"
"Unc80",0,0,0,1,33,0,3,0,"unc-80, NALCN activator"
"Rpe",481,639,701,654,1066,895,689,876,"ribulose-5-phosphate-3-epimerase"
"Kansl1l",235,212,208,288,302,201,223,336,"KAT8 regulatory NSL complex subunit 1-like"
"Acadl",810,569,965,1006,1297,744,1086,1204,"acyl-Coenzyme A dehydrogenase, long-chain"
"Gm15793",32,48,22,23,18,21,21,33,"predicted gene 15793"
"Myl1",0,0,45,0,0,0,0,0,"myosin, light polypeptide 1"
"Lancl1",875,909,349,870,1259,567,381,518,"LanC (bacterial lantibiotic synthetase component C)-like 1"
"Cps1",0,1,0,0,0,0,0,0,"carbamoyl-phosphate synthetase 1"
"Erbb4",0,0,0,0,7,2,0,0,"erb-b2 receptor tyrosine kinase 4"
"Ikzf2",52,53,118,83,193,8,40,47,"IKAROS family zinc finger 2"
"Spag16",0,1,0,0,0,0,0,0,"sperm associated antigen 16"
