X,BC07,BC08,BC09,BC10,GENENAME
Sema4c,628,533,229,525,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
Fam178b,7,8,0,0,"family with sequence similarity 178, member B"
Cox5b,1710,1690,1656,1745,cytochrome c oxidase subunit 5B
Actr1b,3087,2580,4054,4373,"ARP1 actin-related protein 1B, centractin beta"
4933424G06Rik,0,0,0,4,RIKEN cDNA 4933424G06 gene
Zap70,1,1,0,0,zeta-chain (TCR) associated protein kinase
Tmem131,2815,2634,3974,3981,transmembrane protein 131
Vwa3b,2,0,0,0,von Willebrand factor A domain containing 3B
Cnga3,2,0,0,0,cyclic nucleotide gated channel alpha 3
Inpp4a,250,260,204,230,"inositol polyphosphate-4-phosphatase, type I"
Coa5,1500,1367,2075,2398,cytochrome C oxidase assembly factor 5
Unc50,455,571,548,556,unc-50 homolog
Mgat4a,162,70,114,141,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
Cracdl,19,2,256,2,capping protein inhibiting regulator of actin like
Tsga10,36,63,63,52,testis specific 10
Lipt1,90,97,86,154,lipoyltransferase 1
Mitd1,226,162,218,249,"MIT, microtubule interacting and transport, domain containing 1"
Mrpl30,1050,924,1314,1210,mitochondrial ribosomal protein L30
Lyg2,2,0,0,3,lysozyme G-like 2
Lyg1,0,0,0,0,lysozyme G-like 1
Txndc9,1113,1196,1457,1607,thioredoxin domain containing 9
Eif5b,3843,3575,4510,4978,eukaryotic translation initiation factor 5B
Rev1,524,623,740,824,"REV1, DNA directed polymerase"
Aff3,882,551,748,527,"AF4/FMR2 family, member 3"
Lonrf2,16,21,6,5,LON peptidase N-terminal domain and ring finger 2
Chst10,427,88,31,116,carbohydrate sulfotransferase 10
Nms,0,0,0,0,neuromedin S
Pdcl3,1185,1064,1463,1564,phosducin-like 3
Npas2,1,4,0,0,neuronal PAS domain protein 2
Rpl31,8977,9981,11510,11706,ribosomal protein L31
Tbc1d8,45,19,23,32,"TBC1 domain family, member 8"
Cnot11,1009,914,1243,1275,"CCR4-NOT transcription complex, subunit 11"
Rnf149,1022,1137,1389,1325,ring finger protein 149
Creg2,6,1,0,0,cellular repressor of E1A-stimulated genes 2
Rfx8,13,3,1,1,regulatory factor X 8
Map4k4,4347,5488,5632,7938,mitogen-activated protein kinase kinase kinase kinase 4
Il1r2,14,11,2,4,"interleukin 1 receptor, type II"
Il1r1,366,1086,249,956,"interleukin 1 receptor, type I"
Il1rl2,77,48,73,126,interleukin 1 receptor-like 2
Il1rl1,36,262,676,732,interleukin 1 receptor-like 1
Il18r1,8,1,0,2,interleukin 18 receptor 1
Il18rap,18,1,54,57,interleukin 18 receptor accessory protein
Slc9a4,0,0,0,0,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
Slc9a2,0,0,5,0,"solute carrier family 9 (sodium/hydrogen exchanger), member 2"
Mfsd9,64,58,40,47,major facilitator superfamily domain containing 9
Tmem182,0,0,0,0,transmembrane protein 182
Pou3f3,1,3,0,0,"POU domain, class 3, transcription factor 3"
Mrps9,900,658,1132,952,mitochondrial ribosomal protein S9
Gpr45,3,2,2,1,G protein-coupled receptor 45
Tgfbrap1,515,534,709,695,"transforming growth factor, beta receptor associated protein 1"
AI597479,586,687,679,632,expressed sequence AI597479
Fhl2,604,547,786,2739,four and a half LIM domains 2
Nck2,641,598,578,759,non-catalytic region of tyrosine kinase adaptor protein 2
Ecrg4,4,391,1,7,ECRG4 augurin precursor
Uxs1,1311,1395,1406,1590,UDP-glucuronate decarboxylase 1
Tpp2,2426,2354,3568,3682,tripeptidyl peptidase II
Mettl21c,0,0,1,2,"methyltransferase 21C, AARS1 lysine"
Ccdc168,41,13,49,32,coiled-coil domain containing 168
Tex30,801,480,852,858,testis expressed 30
Poglut2,1120,1191,1084,1355,protein O-glucosyltransferase 2
Bivm,456,524,496,689,"basic, immunoglobulin-like variable motif containing"
Ercc5,375,538,486,322,"excision repair cross-complementing rodent repair deficiency, complementation group 5"
Mettl21e,0,0,0,0,methyltransferase like 21E
Gulp1,216,728,607,774,"GULP, engulfment adaptor PTB domain containing 1"
Col3a1,1697,32347,2433,25167,"collagen, type III, alpha 1"
Col5a2,2306,15005,8632,32231,"collagen, type V, alpha 2"
Wdr75,2410,2211,3557,3510,WD repeat domain 75
Slc40a1,102,32,73,216,"solute carrier family 40 (iron-regulated transporter), member 1"
Dnah7b,13,15,27,19,"dynein, axonemal, heavy chain 7B"
Dnah7c,9,5,11,7,"dynein, axonemal, heavy chain 7C"
Slc39a10,1588,1550,1724,1757,"solute carrier family 39 (zinc transporter), member 10"
Tmeff2,5,41,8,43,transmembrane protein with EGF-like and two follistatin-like domains 2
Cavin2,52,155,16,3007,caveolae associated 2
Nabp1,151,120,473,582,nucleic acid binding protein 1
Myo1b,968,1039,569,2465,myosin IB
Stat4,3,1,0,0,signal transducer and activator of transcription 4
Stat1,474,523,328,384,signal transducer and activator of transcription 1
Gls,3643,4106,6842,7402,glutaminase
Nab1,1333,1047,1468,1684,Ngfi-A binding protein 1
Nemp2,113,167,75,113,nuclear envelope integral membrane protein 2
Mfsd6,129,54,52,52,major facilitator superfamily domain containing 6
Inpp1,636,284,124,152,inositol polyphosphate-1-phosphatase
Hibch,583,375,342,434,3-hydroxyisobutyryl-Coenzyme A hydrolase
1700019D03Rik,11,1,2,2,RIKEN cDNA 1700019D03 gene
Mstn,0,0,0,0,myostatin
1700019A02Rik,4,0,3,1,RIKEN cDNA 1700019A02 gene
Pms1,289,258,226,283,"PMS1 homolog 1, mismatch repair system component"
Ormdl1,326,266,279,355,ORM1-like 1 (S. cerevisiae)
Osgepl1,213,202,202,216,O-sialoglycoprotein endopeptidase-like 1
Asnsd1,923,1138,1071,978,asparagine synthetase domain containing 1
Asdurf,0,0,0,0,Asnsd1 upstream reading frame
Dnah7a,0,3,0,0,"dynein, axonemal, heavy chain 7A"
Stk17b,443,372,409,849,serine/threonine kinase 17b (apoptosis-inducing)
Hecw2,5,17,10,40,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
Ccdc150,13,11,9,4,coiled-coil domain containing 150
Gtf3c3,790,840,938,922,"general transcription factor IIIC, polypeptide 3"
Gm34066,0,0,0,1,"predicted gene, 34066"
Pgap1,292,438,212,199,post-GPI attachment to proteins 1
Ankrd44,401,438,576,283,ankyrin repeat domain 44
Sf3b1,6446,6514,7708,9728,"splicing factor 3b, subunit 1"
Coq10b,253,214,833,807,coenzyme Q10B
Hspd1,24322,17931,30684,33840,heat shock protein 1 (chaperonin)
Hspe1,4926,4070,6702,6618,heat shock protein 1 (chaperonin 10)
Mob4,1198,1253,1177,1264,"MOB family member 4, phocein"
Rftn2,164,195,24,240,raftlin family member 2
Mars2,567,402,668,609,methionine-tRNA synthetase 2 (mitochondrial)
Boll,92,81,56,89,"boule homolog, RNA binding protein"
Btf3-ps17,0,1,1,0,"basic transcription factor 3, pseudogene 17"
Plcl1,14,95,111,131,phospholipase C-like 1
Hsfy2,0,0,0,0,"heat shock transcription factor, Y-linked 2"
Satb2,305,371,359,205,special AT-rich sequence binding protein 2
1700066M21Rik,292,271,398,425,RIKEN cDNA 1700066M21 gene
Tyw5,174,196,271,313,tRNA-yW synthesizing protein 5
Maip1,336,366,432,473,matrix AAA peptidase interacting protein 1
Spats2l,58,280,286,488,"spermatogenesis associated, serine-rich 2-like"
Kctd18,194,250,160,218,potassium channel tetramerisation domain containing 18
Sgo2a,866,785,860,1312,shugoshin 2A
Aox1,67,78,42,183,aldehyde oxidase 1
Aox3,15,18,0,2,aldehyde oxidase 3
Aox4,14,7,0,0,aldehyde oxidase 4
Aox2,10,0,0,1,aldehyde oxidase 2
Gm53481,13,10,10,20,"predicted gene, 53481"
Bzw1,8851,6574,10332,12491,basic leucine zipper and W2 domains 1
Clk1,650,882,658,903,CDC-like kinase 1
Ppil3,282,355,401,509,peptidylprolyl isomerase (cyclophilin)-like 3
Nif3l1,874,856,914,1006,Ngg1 interacting factor 3-like 1 (S. pombe)
Orc2,1601,1209,2325,2625,"origin recognition complex, subunit 2"
Hycc2,233,281,295,343,hyccin PI4KA lipid kinase complex subunit 2
Ndufb3,577,589,536,654,NADH:ubiquinone oxidoreductase subunit B3
Flacc1,0,0,2,36,flagellum associated containing coiled-coil domains 1
Cflar,385,539,615,1082,CASP8 and FADD-like apoptosis regulator
Casp8,375,553,340,543,caspase 8
Gm28802,1,2,3,1,predicted gene 28802
Trak2,1397,1470,1778,1513,"trafficking protein, kinesin binding 2"
Stradb,108,177,111,156,STE20-related kinase adaptor beta
C2cd6,1,1,0,1,C2 calcium dependent domain containing 6
Tmem237,445,620,496,556,transmembrane protein 237
Mpp4,3,2,0,5,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
Als2,469,620,485,804,alsin Rho guanine nucleotide exchange factor
Cdk15,3,2,1,0,cyclin dependent kinase 15
Fzd7,1634,1889,3069,2820,frizzled class receptor 7
Gm973,3,8,1,3,predicted gene 973
Sumo1,2286,1871,2331,2285,small ubiquitin-like modifier 1
Nop58,4840,4251,7213,7854,NOP58 ribonucleoprotein
Bmpr2,2042,2353,2034,2298,bone morphogenetic protein receptor type 2
Fam117b,1229,997,1121,942,"family with sequence similarity 117, member B"
Ica1l,4,12,19,5,islet cell autoantigen 1-like
Wdr12,1694,1438,2176,2504,WD repeat domain 12
Carf,131,202,109,102,calcium response factor
Nbeal1,517,424,480,535,neurobeachin like 1
Cyp20a1,809,1088,956,1186,"cytochrome P450, family 20, subfamily a, polypeptide 1"
Abi2,236,338,339,328,abl interactor 2
Raph1,374,500,588,1417,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
Gm11578,1,1,1,1,predicted gene 11578
Cd28,2,0,0,3,CD28 antigen
Ctla4,0,0,0,0,cytotoxic T-lymphocyte-associated protein 4
Icos,0,8,11,10,inducible T cell co-stimulator
Pard3b,88,132,42,106,par-3 family cell polarity regulator beta
Nrp2,4671,4566,5115,8798,neuropilin 2
Ino80d,1082,869,911,1152,INO80 complex subunit D
Ndufs1,2724,2218,2777,2907,NADH:ubiquinone oxidoreductase core subunit S1
Eef1b2,8383,11697,10151,12135,eukaryotic translation elongation factor 1 beta 2
Cmklr2,2,1,0,1,chemerin chemokine-like receptor 2
Zdbf2,15,4,4,15,"zinc finger, DBF-type containing 2"
Adam23,25,100,5,17,a disintegrin and metallopeptidase domain 23
Fam237a,0,0,0,0,"family with sequence similarity 237, member A"
Dytn,0,0,0,0,dystrotelin
Mdh1b,5,12,0,1,"malate dehydrogenase 1B, NAD (soluble)"
Fastkd2,875,673,755,719,FAST kinase domains 2
Klf7,748,725,749,1438,Kruppel-like transcription factor 7 (ubiquitous)
Creb1,1342,1586,1221,1456,cAMP responsive element binding protein 1
Mettl21a,312,399,288,329,"methyltransferase 21A, HSPA lysine"
Ccnyl1,755,694,1072,1082,cyclin Y-like 1
Fzd5,465,199,274,190,frizzled class receptor 5
Plekhm3,287,250,286,228,"pleckstrin homology domain containing, family M, member 3"
Akr1cl,0,6,0,0,"aldo-keto reductase family 1, member C-like"
Cryge,0,0,0,0,"crystallin, gamma E"
Crygd,0,1,0,0,"crystallin, gamma D"
Crygc,0,0,0,0,"crystallin, gamma C"
Crygb,0,0,0,0,"crystallin, gamma B"
Cryga,0,0,0,0,"crystallin, gamma A"
D630023F18Rik,0,5,0,0,RIKEN cDNA D630023F18 gene
Idh1,1105,1505,537,1558,"isocitrate dehydrogenase 1 (NADP+), soluble"
Pikfyve,609,713,741,834,"phosphoinositide kinase, FYVE type zinc finger containing"
Pth2r,0,2,0,0,parathyroid hormone 2 receptor
Crygf,0,0,0,0,"crystallin, gamma F"
Map2,41,185,21,8,microtubule-associated protein 2
Unc80,0,1,0,0,"unc-80, NALCN activator"
Rpe,639,654,895,876,ribulose-5-phosphate-3-epimerase
Kansl1l,212,288,201,336,KAT8 regulatory NSL complex subunit 1-like
Acadl,569,1006,744,1204,"acyl-Coenzyme A dehydrogenase, long-chain"
Gm15793,48,23,21,33,predicted gene 15793
Myl1,0,0,0,0,"myosin, light polypeptide 1"
Lancl1,909,870,567,518,LanC (bacterial lantibiotic synthetase component C)-like 1
Cps1,1,0,0,0,carbamoyl-phosphate synthetase 1
Erbb4,0,0,2,0,erb-b2 receptor tyrosine kinase 4
Ikzf2,53,83,8,47,IKAROS family zinc finger 2
Spag16,1,0,0,0,sperm associated antigen 16
Vwc2l,0,0,0,0,von Willebrand factor C domain-containing protein 2-like
Bard1,349,375,372,537,BRCA1 associated RING domain 1
Abca12,7,0,0,0,"ATP-binding cassette, sub-family A member 12"
Atic,5896,5138,9519,9230,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
Fn1,13436,57932,17492,54815,fibronectin 1
Gm5528,1,0,5,1,predicted gene 5528
Mreg,93,78,508,236,melanoregulin
Pecr,274,288,218,303,peroxisomal trans-2-enoyl-CoA reductase
Tmem169,8,17,5,16,transmembrane protein 169
Xrcc5,842,781,880,1022,X-ray repair complementing defective repair in Chinese hamster cells 5
Marchf4,0,0,0,2,membrane associated ring-CH-type finger 4
Smarcal1,560,766,424,534,SNF2 related chromatin remodeling ATPase like 1
Ankar,3,0,0,0,ankyrin and armadillo repeat containing
Rpl37a,6378,6824,7299,7281,ribosomal protein L37a
Igfbp2,76,6182,53,114,insulin-like growth factor binding protein 2
Igfbp5,4259,1389,66,57,insulin-like growth factor binding protein 5
Tnp1,0,0,0,0,transition protein 1
Tns1,1296,676,649,1787,tensin 1
Rufy4,1566,311,833,4,RUN and FYVE domain containing 4
Cxcr2,0,0,2,0,C-X-C motif chemokine receptor 2
Cxcr1,1,0,0,0,C-X-C motif chemokine receptor 1
Arpc2,3884,3866,6028,8000,"actin related protein 2/3 complex, subunit 2"
Gpbar1,0,5,0,0,G protein-coupled bile acid receptor 1
Aamp,1983,2035,1887,1885,angio-associated migratory protein
Pnkd,601,525,547,607,paroxysmal nonkinesiogenic dyskinesia
Tmbim1,832,946,1359,1216,transmembrane BAX inhibitor motif containing 1
Catip,1,1,0,8,ciliogenesis associated TTC17 interacting protein
Slc11a1,2,5,0,8,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
Ctdsp1,2028,2095,2233,2897,CTD small phosphatase 1
Vil1,0,1,3,0,villin 1
Usp37,940,902,1007,1082,ubiquitin specific peptidase 37
Cnot9,2402,2295,2571,2864,"CCR4-NOT transcription complex, subunit 9"
Plcd4,14,17,15,19,"phospholipase C, delta 4"
Zfp142,806,982,952,1087,zinc finger protein 142
Bcs1l,502,612,537,374,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
Rnf25,373,455,497,379,ring finger protein 25
Stk36,102,251,55,92,serine/threonine kinase 36
Ttll4,2497,2151,2813,2527,"tubulin tyrosine ligase-like family, member 4"
Cyp27a1,85,19,51,3,"cytochrome P450, family 27, subfamily a, polypeptide 1"
Prkag3,39,9,9,12,"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"
Wnt6,940,76,1,6,"wingless-type MMTV integration site family, member 6"
Wnt10a,802,25,0,4,"wingless-type MMTV integration site family, member 10A"
Cdk5r2,2,6,0,0,"cyclin dependent kinase 5, regulatory subunit 2"
Fev,1,0,0,0,"FEV transcription factor, ETS family member"
Cryba2,1,0,0,0,"crystallin, beta A2"
Cfap65,3,0,0,0,cilia and flagella associated protein 65
Ihh,4,2,3,0,Indian hedgehog
Nhej1,105,123,79,94,non-homologous end joining factor 1
Slc23a3,12,6,10,26,"solute carrier family 23 (nucleobase transporters), member 3"
Cnppd1,811,906,932,965,cyclin Pas1/PHO80 domain containing 1
Retreg2,1114,1174,1202,1502,reticulophagy regulator family member 2
Zfand2b,225,230,220,279,"zinc finger, AN1 type domain 2B"
Abcb6,524,517,551,571,"ATP-binding cassette, sub-family B member 6"
Atg9a,1064,1197,1056,1140,autophagy related 9A
Ankzf1,176,216,201,178,ankyrin repeat and zinc finger domain containing 1
Glb1l,96,115,79,115,"galactosidase, beta 1-like"
Stk16,877,1096,1400,1101,serine/threonine kinase 16
Tuba4a,888,299,1958,2144,"tubulin, alpha 4A"
A630095N17Rik,0,0,0,0,RIKEN cDNA A630095N17 gene
Dnajb2,255,444,350,587,DnaJ heat shock protein family (Hsp40) member B2
Ptprn,42,115,418,855,protein tyrosine phosphatase receptor type N
Resp18,0,0,0,0,regulated endocrine-specific protein 18
Dnpep,839,1210,527,999,aspartyl aminopeptidase
Des,15,76,18,39,desmin
Speg,330,354,73,269,SPEG complex locus
Gmppa,779,970,447,512,GDP-mannose pyrophosphorylase A
Asic4,8,1,0,0,acid-sensing ion channel family member 4
Chpf,1068,1293,1788,2221,chondroitin polymerizing factor
Tmem198,27,22,29,49,transmembrane protein 198
Obsl1,1056,1993,752,1361,obscurin-like 1
Inha,46,35,22,26,inhibin alpha
Stk11ip,1548,626,504,544,serine/threonine kinase 11 interacting protein
Slc4a3,128,299,134,123,"solute carrier family 4 (anion exchanger), member 3"
Epha4,73,64,9,52,Eph receptor A4
Pax3,0,2,178,0,paired box 3
Gm2102,0,3,26,0,predicted gene 2102
Sgpp2,8,8,9,9,sphingosine-1-phosphate phosphatase 2
Farsb,2148,1705,2839,2700,"phenylalanyl-tRNA synthetase, beta subunit"
Mogat1,0,0,0,0,monoacylglycerol O-acyltransferase 1
Acsl3,1388,2194,1064,1519,acyl-CoA synthetase long-chain family member 3
Utp14b,313,315,268,393,UTP14B small subunit processome component
Kcne4,115,30,0,8,"potassium voltage-gated channel, Isk-related subfamily, gene 4"
Scg2,0,4,0,0,secretogranin II
Ap1s3,119,187,131,39,"adaptor-related protein complex AP-1, sigma 3"
Wdfy1,158,249,302,477,WD repeat and FYVE domain containing 1
Mrpl44,491,423,461,500,mitochondrial ribosomal protein L44
Serpine2,69,3075,632,905,"serine (or cysteine) peptidase inhibitor, clade E, member 2"
Fam124b,1,0,0,0,"family with sequence similarity 124, member B"
Cul3,2558,2359,3274,4331,cullin 3
Dock10,5,48,8,50,dedicator of cytokinesis 10
Nyap2,0,2,0,0,neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2
Irs1,450,1097,309,1594,insulin receptor substrate 1
Rhbdd1,449,484,681,704,rhomboid domain containing 1
Col4a4,130,4,14,9,"collagen, type IV, alpha 4"
Col4a3,72,1,7,6,"collagen, type IV, alpha 3"
Mff,1255,1185,1322,1418,mitochondrial fission factor
Tm4sf20,0,0,1,0,transmembrane 4 L six family member 20
Agfg1,2002,1808,2508,2404,ArfGAP with FG repeats 1
Slc19a3,5,0,0,0,"solute carrier family 19, member 3"
Krtap28-13,0,0,0,0,keratin associated protein 28-13
Ccl20,2,0,0,1,C-C motif chemokine ligand 20
Daw1,1,0,1,0,dynein assembly factor with WDR repeat domains 1
Sphkap,0,0,0,0,"SPHK1 interactor, AKAP domain containing"
Pid1,17,141,5,21,phosphotyrosine interaction domain containing 1
Dner,9,133,1,12,delta/notch-like EGF repeat containing
Gm57795,0,0,0,0,"predicted gene, 57795"
Trip12,4626,4905,5844,6501,thyroid hormone receptor interactor 12
Fbxo36,53,95,40,47,F-box protein 36
Slc16a14,4,4,2,0,"solute carrier family 16 (monocarboxylic acid transporters), member 14"
Sp140l1,13,0,1,0,Sp140 nuclear body protein like 1
Gm38510,4,0,0,0,"predicted gene, 38510"
Gm53253,3,24,8,15,"predicted gene, 53253"
Gm7609,3,0,0,0,predicted pseudogene 7609
Sp140l2,11,0,0,0,Sp140 nuclear body protein like 2
Gm53567,4,0,0,0,"predicted gene, 53567"
Gm7592,4,0,0,1,predicted gene 7592
Gm2427,35,147,64,99,predicted gene 2427
Sp110,41,0,2,5,Sp110 nuclear body protein
Sp140,85,69,36,67,Sp140 nuclear body protein
Sp100,114,5,5,44,nuclear antigen Sp100
A630001G21Rik,127,10,0,6,RIKEN cDNA A630001G21 gene
Cab39,2179,1876,2672,2750,calcium binding protein 39
