X,BC07_tumor,BC08_tumor,BC09_tumor,BC10_tumor,GENENAME
Col19a1,1,8,1,0,"collagen, type XIX, alpha 1"
Lmbrd1,493,724,709,486,LMBR1 domain containing 1
Adgrb3,0,3,7,2,adhesion G protein-coupled receptor B3
Gm20172,0,0,0,0,"predicted gene, 20172"
Spata31e2,0,0,0,0,spermatogenesis associated 31 subfamily E member 2
Spata31e5,0,0,0,0,spermatogenesis associated 31 subfamily E member 5
Gm6462,0,0,0,0,predicted gene 6462
Gm46086,0,0,0,0,"predicted gene, 46086"
Phf3,1783,2050,2399,1951,PHD finger protein 3
Ptp4a1,1916,3462,3073,2774,protein tyrosine phosphatase 4a1
Lgsn,0,0,0,0,"lengsin, lens protein with glutamine synthetase domain"
Dnaaf6rt,0,0,0,0,"dynein axonemal assembly factor 6, retrotransposed"
Khdrbs2,0,5,0,0,"KH domain containing, RNA binding, signal transduction associated 2"
Gm9839,0,0,0,0,predicted gene 9839
Semp2l1,0,0,0,0,SUMO/sentrin specific peptidase 2-like 1
Prim2,643,669,1034,740,"DNA primase, p58 subunit"
Rab23,582,1080,693,960,"RAB23, member RAS oncogene family"
Bag2,1152,2359,1514,1517,BCL2-associated athanogene 2
Zfp451,719,637,945,562,zinc finger protein 451
Gm15455,13,7,4,8,predicted gene 15455
Bend6,60,65,329,84,BEN domain containing 6
Dst,3665,6854,5292,4515,dystonin
Ccdc115,557,321,483,306,coiled-coil domain containing 115
Imp4,1594,1166,1893,1288,"IMP4, U3 small nucleolar ribonucleoprotein"
Ptpn18,17,9,22,8,"protein tyrosine phosphatase, non-receptor type 18"
Prss39,0,0,0,0,serine protease 39
Cfc1,96,0,6,0,"cryptic, EGF-CFC family member 1"
Prss40,18,0,0,0,serine protease 40
Amer3,1,0,0,0,APC membrane recruitment 3
Arhgef4,1,8,24,5,Rho guanine nucleotide exchange factor 4
Smim39,0,0,0,0,small integral membrane protein 39
Fam168b,3376,4037,5952,4565,"family with sequence similarity 168, member B"
Plekhb2,422,1620,1604,1286,"pleckstrin homology domain containing, family B (evectins) member 2"
Hs6st1,1124,1769,1505,1835,heparan sulfate 6-O-sulfotransferase 1
Uggt1,3187,4582,3572,3770,UDP-glucose glycoprotein glucosyltransferase 1
Neurl3,21,54,7,27,neuralized E3 ubiquitin protein ligase 3
Arid5a,257,244,368,182,AT-rich interaction domain 5A
Kansl3,1179,1143,1827,1252,KAT8 regulatory NSL complex subunit 3
Fer1l5,2,0,1,0,fer-1 like family member 5
Lman2l,306,465,750,354,"lectin, mannose-binding 2-like"
Cnnm4,281,765,599,339,cyclin M4
Cnnm3,509,429,613,366,cyclin M3
Ankrd23,161,71,120,39,ankyrin repeat domain 23
Ankrd39,206,154,190,85,ankyrin repeat domain 39
Sema4c,768,600,658,636,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
Fam178b,2,1,20,0,"family with sequence similarity 178, member B"
Cox5b,1680,1247,2099,1349,cytochrome c oxidase subunit 5B
Actr1b,2831,3610,3969,3499,"ARP1 actin-related protein 1B, centractin beta"
4933424G06Rik,0,1,0,0,RIKEN cDNA 4933424G06 gene
Zap70,12,0,0,1,zeta-chain (TCR) associated protein kinase
Tmem131,2619,2689,3137,2398,transmembrane protein 131
Vwa3b,1,15,7,5,von Willebrand factor A domain containing 3B
Cnga3,0,0,0,0,cyclic nucleotide gated channel alpha 3
Inpp4a,305,290,253,203,"inositol polyphosphate-4-phosphatase, type I"
Coa5,1215,2021,2262,1717,cytochrome C oxidase assembly factor 5
Unc50,560,635,634,481,unc-50 homolog
Mgat4a,150,240,287,180,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
Cracdl,15,24,246,1,capping protein inhibiting regulator of actin like
Tsga10,36,48,60,28,testis specific 10
Lipt1,85,94,125,50,lipoyltransferase 1
Mitd1,261,174,271,167,"MIT, microtubule interacting and transport, domain containing 1"
Mrpl30,991,747,1341,796,mitochondrial ribosomal protein L30
Lyg2,0,0,0,0,lysozyme G-like 2
Lyg1,0,0,0,0,lysozyme G-like 1
Txndc9,1163,1102,1452,1147,thioredoxin domain containing 9
Eif5b,2947,3066,3688,3423,eukaryotic translation initiation factor 5B
Rev1,516,327,702,487,"REV1, DNA directed polymerase"
Aff3,820,400,1896,236,"AF4/FMR2 family, member 3"
Lonrf2,1,10,8,1,LON peptidase N-terminal domain and ring finger 2
Chst10,414,83,66,92,carbohydrate sulfotransferase 10
Nms,0,2,2,0,neuromedin S
Pdcl3,1317,1886,1574,1414,phosducin-like 3
Npas2,3,34,16,19,neuronal PAS domain protein 2
Rpl31,8885,7396,15530,8463,ribosomal protein L31
Tbc1d8,28,55,74,38,"TBC1 domain family, member 8"
Cnot11,898,845,1041,874,"CCR4-NOT transcription complex, subunit 11"
Rnf149,827,1503,1427,998,ring finger protein 149
Creg2,5,6,0,4,cellular repressor of E1A-stimulated genes 2
Rfx8,5,5,3,0,regulatory factor X 8
Map4k4,3451,6674,7055,6758,mitogen-activated protein kinase kinase kinase kinase 4
Il1r2,11,16,23,25,"interleukin 1 receptor, type II"
Il1r1,606,1886,668,2623,"interleukin 1 receptor, type I"
Il1rl2,114,477,412,448,interleukin 1 receptor-like 2
Il1rl1,184,994,1588,1352,interleukin 1 receptor-like 1
Il18r1,34,1,6,0,interleukin 18 receptor 1
Il18rap,7,36,39,63,interleukin 18 receptor accessory protein
Slc9a4,0,1,0,2,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
Slc9a2,3,14,12,0,"solute carrier family 9 (sodium/hydrogen exchanger), member 2"
Mfsd9,26,91,98,69,major facilitator superfamily domain containing 9
Tmem182,0,15,0,0,transmembrane protein 182
Pou3f3,0,0,11,3,"POU domain, class 3, transcription factor 3"
Mrps9,775,479,1300,646,mitochondrial ribosomal protein S9
Gpr45,5,0,0,2,G protein-coupled receptor 45
Tgfbrap1,507,709,734,577,"transforming growth factor, beta receptor associated protein 1"
AI597479,548,438,937,552,expressed sequence AI597479
Fhl2,849,2428,1152,2298,four and a half LIM domains 2
Nck2,492,612,950,665,non-catalytic region of tyrosine kinase adaptor protein 2
Ecrg4,5,33,13,7,ECRG4 augurin precursor
Uxs1,1133,1097,1448,1135,UDP-glucuronate decarboxylase 1
Tpp2,2098,2329,2427,2238,tripeptidyl peptidase II
Mettl21c,1,0,0,0,"methyltransferase 21C, AARS1 lysine"
Ccdc168,47,11,21,19,coiled-coil domain containing 168
Tex30,673,456,684,467,testis expressed 30
Poglut2,1032,828,1413,1099,protein O-glucosyltransferase 2
Bivm,428,406,652,467,"basic, immunoglobulin-like variable motif containing"
Ercc5,411,439,445,289,"excision repair cross-complementing rodent repair deficiency, complementation group 5"
Mettl21e,0,0,0,0,methyltransferase like 21E
Gulp1,264,1340,1289,1127,"GULP, engulfment adaptor PTB domain containing 1"
Col3a1,2308,61001,33526,82754,"collagen, type III, alpha 1"
Col5a2,4808,63327,19910,38519,"collagen, type V, alpha 2"
Wdr75,2142,1869,2969,2195,WD repeat domain 75
Slc40a1,60,33,163,293,"solute carrier family 40 (iron-regulated transporter), member 1"
Dnah7b,12,12,60,16,"dynein, axonemal, heavy chain 7B"
Dnah7c,5,3,6,7,"dynein, axonemal, heavy chain 7C"
Slc39a10,1249,1303,1386,1190,"solute carrier family 39 (zinc transporter), member 10"
Tmeff2,3,57,15,26,transmembrane protein with EGF-like and two follistatin-like domains 2
Cavin2,93,1571,234,2115,caveolae associated 2
Nabp1,198,683,539,524,nucleic acid binding protein 1
Myo1b,943,1596,1452,2735,myosin IB
Stat4,1,0,0,2,signal transducer and activator of transcription 4
Stat1,4063,547,648,546,signal transducer and activator of transcription 1
Gls,3131,5183,5073,3612,glutaminase
Nab1,1320,1477,1947,1689,Ngfi-A binding protein 1
Nemp2,149,87,192,108,nuclear envelope integral membrane protein 2
Mfsd6,98,239,201,112,major facilitator superfamily domain containing 6
Inpp1,784,229,172,167,inositol polyphosphate-1-phosphatase
Hibch,460,255,574,324,3-hydroxyisobutyryl-Coenzyme A hydrolase
1700019D03Rik,6,1,125,0,RIKEN cDNA 1700019D03 gene
Mstn,0,0,1,0,myostatin
1700019A02Rik,0,0,0,0,RIKEN cDNA 1700019A02 gene
Pms1,305,138,307,179,"PMS1 homolog 1, mismatch repair system component"
Ormdl1,296,276,486,285,ORM1-like 1 (S. cerevisiae)
Osgepl1,168,132,334,171,O-sialoglycoprotein endopeptidase-like 1
Asnsd1,755,728,1206,889,asparagine synthetase domain containing 1
Asdurf,0,0,0,0,Asnsd1 upstream reading frame
Dnah7a,0,0,3,5,"dynein, axonemal, heavy chain 7A"
Stk17b,406,536,387,888,serine/threonine kinase 17b (apoptosis-inducing)
Hecw2,5,61,20,35,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
Ccdc150,17,10,7,11,coiled-coil domain containing 150
Gtf3c3,627,711,881,717,"general transcription factor IIIC, polypeptide 3"
Gm34066,0,0,0,0,"predicted gene, 34066"
Pgap1,162,516,310,256,post-GPI attachment to proteins 1
Ankrd44,613,845,1610,623,ankyrin repeat domain 44
Sf3b1,5771,6058,6538,6394,"splicing factor 3b, subunit 1"
Coq10b,313,1147,542,569,coenzyme Q10B
Hspd1,17100,11427,18874,16038,heat shock protein 1 (chaperonin)
Hspe1,4142,2611,3937,3495,heat shock protein 1 (chaperonin 10)
Mob4,974,1148,1354,998,"MOB family member 4, phocein"
Rftn2,402,196,135,245,raftlin family member 2
Mars2,449,295,570,246,methionine-tRNA synthetase 2 (mitochondrial)
Boll,116,57,63,29,"boule homolog, RNA binding protein"
Btf3-ps17,0,0,0,0,"basic transcription factor 3, pseudogene 17"
Plcl1,25,439,135,82,phospholipase C-like 1
Hsfy2,0,0,0,0,"heat shock transcription factor, Y-linked 2"
Satb2,222,139,177,77,special AT-rich sequence binding protein 2
1700066M21Rik,267,319,429,289,RIKEN cDNA 1700066M21 gene
Tyw5,239,272,388,271,tRNA-yW synthesizing protein 5
Maip1,388,364,526,344,matrix AAA peptidase interacting protein 1
Spats2l,163,309,825,1208,"spermatogenesis associated, serine-rich 2-like"
Kctd18,173,235,257,240,potassium channel tetramerisation domain containing 18
Sgo2a,739,743,716,840,shugoshin 2A
Aox1,113,81,93,85,aldehyde oxidase 1
Aox3,21,18,3,0,aldehyde oxidase 3
Aox4,16,0,0,0,aldehyde oxidase 4
Aox2,30,0,0,0,aldehyde oxidase 2
Gm53481,24,7,11,10,"predicted gene, 53481"
Bzw1,7418,7552,7114,7385,basic leucine zipper and W2 domains 1
Clk1,812,681,1032,586,CDC-like kinase 1
Ppil3,320,328,361,302,peptidylprolyl isomerase (cyclophilin)-like 3
Nif3l1,739,569,1071,636,Ngg1 interacting factor 3-like 1 (S. pombe)
Orc2,1457,1015,2221,1353,"origin recognition complex, subunit 2"
Hycc2,224,245,260,175,hyccin PI4KA lipid kinase complex subunit 2
Ndufb3,600,417,548,346,NADH:ubiquinone oxidoreductase subunit B3
Flacc1,0,7,5,12,flagellum associated containing coiled-coil domains 1
Cflar,447,1351,876,752,CASP8 and FADD-like apoptosis regulator
Casp8,457,713,574,595,caspase 8
Gm28802,2,0,4,7,predicted gene 28802
Trak2,1267,1858,1563,1237,"trafficking protein, kinesin binding 2"
Stradb,118,207,196,159,STE20-related kinase adaptor beta
C2cd6,0,0,0,0,C2 calcium dependent domain containing 6
Tmem237,423,391,688,425,transmembrane protein 237
Mpp4,1,3,0,2,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
Als2,454,682,443,579,alsin Rho guanine nucleotide exchange factor
Cdk15,1,0,17,9,cyclin dependent kinase 15
Fzd7,1648,4375,3087,2286,frizzled class receptor 7
Gm973,3,2,18,5,predicted gene 973
Sumo1,2129,1345,2779,1988,small ubiquitin-like modifier 1
Nop58,4393,3165,6241,3881,NOP58 ribonucleoprotein
Bmpr2,1787,2798,2219,1813,bone morphogenetic protein receptor type 2
Fam117b,1002,548,979,828,"family with sequence similarity 117, member B"
Ica1l,8,82,21,3,islet cell autoantigen 1-like
Wdr12,1447,962,1871,1142,WD repeat domain 12
Carf,99,122,217,114,calcium response factor
Nbeal1,534,962,623,486,neurobeachin like 1
Cyp20a1,709,1020,1285,968,"cytochrome P450, family 20, subfamily a, polypeptide 1"
Abi2,165,258,395,195,abl interactor 2
Raph1,327,2037,694,1558,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
Gm11578,0,12,7,1,predicted gene 11578
Cd28,2,0,1,3,CD28 antigen
Ctla4,0,0,0,0,cytotoxic T-lymphocyte-associated protein 4
Icos,3,16,10,0,inducible T cell co-stimulator
Pard3b,81,109,101,109,par-3 family cell polarity regulator beta
Nrp2,4130,4973,4256,6462,neuropilin 2
Ino80d,1093,786,766,608,INO80 complex subunit D
Ndufs1,2128,1659,2395,1715,NADH:ubiquinone oxidoreductase core subunit S1
Eef1b2,8196,7508,14385,8949,eukaryotic translation elongation factor 1 beta 2
Cmklr2,0,4,4,0,chemerin chemokine-like receptor 2
Zdbf2,18,11,12,2,"zinc finger, DBF-type containing 2"
Adam23,5,373,131,120,a disintegrin and metallopeptidase domain 23
Fam237a,0,0,0,0,"family with sequence similarity 237, member A"
Dytn,0,0,0,0,dystrotelin
Mdh1b,2,2,2,1,"malate dehydrogenase 1B, NAD (soluble)"
Fastkd2,621,400,729,413,FAST kinase domains 2
Klf7,677,1274,1155,963,Kruppel-like transcription factor 7 (ubiquitous)
Creb1,1008,1069,1777,1041,cAMP responsive element binding protein 1
Mettl21a,255,341,414,370,"methyltransferase 21A, HSPA lysine"
Ccnyl1,460,1876,1106,922,cyclin Y-like 1
Fzd5,177,812,242,148,frizzled class receptor 5
Plekhm3,248,399,463,267,"pleckstrin homology domain containing, family M, member 3"
Akr1cl,1,0,1,0,"aldo-keto reductase family 1, member C-like"
Cryge,0,0,4,0,"crystallin, gamma E"
Crygd,0,0,0,0,"crystallin, gamma D"
Crygc,0,0,0,0,"crystallin, gamma C"
Crygb,0,0,0,0,"crystallin, gamma B"
Cryga,0,0,0,0,"crystallin, gamma A"
D630023F18Rik,2,0,0,1,RIKEN cDNA D630023F18 gene
Idh1,742,1361,1414,1993,"isocitrate dehydrogenase 1 (NADP+), soluble"
Pikfyve,590,644,933,688,"phosphoinositide kinase, FYVE type zinc finger containing"
Pth2r,3,3,0,3,parathyroid hormone 2 receptor
Crygf,0,0,0,0,"crystallin, gamma F"
Map2,50,38,135,6,microtubule-associated protein 2
Unc80,0,0,33,3,"unc-80, NALCN activator"
Rpe,481,701,1066,689,ribulose-5-phosphate-3-epimerase
Kansl1l,235,208,302,223,KAT8 regulatory NSL complex subunit 1-like
Acadl,810,965,1297,1086,"acyl-Coenzyme A dehydrogenase, long-chain"
Gm15793,32,22,18,21,predicted gene 15793
Myl1,0,45,0,0,"myosin, light polypeptide 1"
Lancl1,875,349,1259,381,LanC (bacterial lantibiotic synthetase component C)-like 1
Cps1,0,0,0,0,carbamoyl-phosphate synthetase 1
Erbb4,0,0,7,0,erb-b2 receptor tyrosine kinase 4
Ikzf2,52,118,193,40,IKAROS family zinc finger 2
Spag16,0,0,0,0,sperm associated antigen 16
Vwc2l,0,0,0,0,von Willebrand factor C domain-containing protein 2-like
Bard1,314,266,407,288,BRCA1 associated RING domain 1
Abca12,0,0,0,0,"ATP-binding cassette, sub-family A member 12"
Atic,4795,3427,4811,4358,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
Fn1,14899,107109,92500,62925,fibronectin 1
Gm5528,0,0,4,1,predicted gene 5528
Mreg,80,26,329,62,melanoregulin
Pecr,239,116,319,220,peroxisomal trans-2-enoyl-CoA reductase
Tmem169,23,2,10,18,transmembrane protein 169
Xrcc5,774,415,1358,712,X-ray repair complementing defective repair in Chinese hamster cells 5
Marchf4,0,2,2,1,membrane associated ring-CH-type finger 4
Smarcal1,477,404,654,427,SNF2 related chromatin remodeling ATPase like 1
Ankar,0,0,0,0,ankyrin and armadillo repeat containing
Rpl37a,5333,4458,5359,4770,ribosomal protein L37a
Igfbp2,131,1660,1021,578,insulin-like growth factor binding protein 2
Igfbp5,3991,2009,202,76,insulin-like growth factor binding protein 5
Tnp1,0,0,0,0,transition protein 1
Tns1,1454,10815,2360,4951,tensin 1
Rufy4,1244,253,1423,14,RUN and FYVE domain containing 4
Cxcr2,1,0,0,0,C-X-C motif chemokine receptor 2
Cxcr1,0,0,0,0,C-X-C motif chemokine receptor 1
Arpc2,3137,7120,6046,5431,"actin related protein 2/3 complex, subunit 2"
Gpbar1,1,6,2,0,G protein-coupled bile acid receptor 1
Aamp,1941,1419,1992,1470,angio-associated migratory protein
Pnkd,454,306,708,444,paroxysmal nonkinesiogenic dyskinesia
Tmbim1,935,1989,1794,1175,transmembrane BAX inhibitor motif containing 1
Catip,5,37,10,16,ciliogenesis associated TTC17 interacting protein
Slc11a1,38,52,6,47,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
Ctdsp1,1798,1599,2033,1481,CTD small phosphatase 1
Vil1,8,0,1,1,villin 1
Usp37,876,635,1273,675,ubiquitin specific peptidase 37
Cnot9,2088,1581,2470,1823,"CCR4-NOT transcription complex, subunit 9"
Plcd4,19,6,13,9,"phospholipase C, delta 4"
Zfp142,838,731,1007,659,zinc finger protein 142
Bcs1l,381,345,639,319,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
Rnf25,430,348,604,329,ring finger protein 25
Stk36,76,113,70,104,serine/threonine kinase 36
Ttll4,2097,1252,2159,1113,"tubulin tyrosine ligase-like family, member 4"
Cyp27a1,150,34,154,15,"cytochrome P450, family 27, subfamily a, polypeptide 1"
Prkag3,46,1,3,3,"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"
Wnt6,1160,52,6,7,"wingless-type MMTV integration site family, member 6"
Wnt10a,1299,11,13,2,"wingless-type MMTV integration site family, member 10A"
Cdk5r2,0,2,0,0,"cyclin dependent kinase 5, regulatory subunit 2"
Fev,0,0,0,0,"FEV transcription factor, ETS family member"
Cryba2,0,0,0,0,"crystallin, beta A2"
Cfap65,0,0,0,0,cilia and flagella associated protein 65
Ihh,2,2,0,3,Indian hedgehog
Nhej1,122,84,110,102,non-homologous end joining factor 1
Slc23a3,18,15,10,8,"solute carrier family 23 (nucleobase transporters), member 3"
Cnppd1,940,1123,1331,883,cyclin Pas1/PHO80 domain containing 1
Retreg2,1278,1003,1463,1044,reticulophagy regulator family member 2
Zfand2b,262,183,461,228,"zinc finger, AN1 type domain 2B"
Abcb6,551,449,786,471,"ATP-binding cassette, sub-family B member 6"
Atg9a,1002,1232,1383,1109,autophagy related 9A
Ankzf1,265,193,279,174,ankyrin repeat and zinc finger domain containing 1
Glb1l,107,164,149,107,"galactosidase, beta 1-like"
Stk16,930,821,1067,810,serine/threonine kinase 16
Tuba4a,616,1288,1260,1459,"tubulin, alpha 4A"
A630095N17Rik,0,0,0,0,RIKEN cDNA A630095N17 gene
Dnajb2,326,686,576,499,DnaJ heat shock protein family (Hsp40) member B2
Ptprn,52,2749,582,890,protein tyrosine phosphatase receptor type N
Resp18,2,0,0,0,regulated endocrine-specific protein 18
Dnpep,972,1615,1049,1451,aspartyl aminopeptidase
Des,27,3295,909,501,desmin
Speg,210,1139,222,502,SPEG complex locus
Gmppa,888,810,946,747,GDP-mannose pyrophosphorylase A
Asic4,1,5,2,0,acid-sensing ion channel family member 4
Chpf,1235,2225,1434,1858,chondroitin polymerizing factor
Tmem198,53,41,26,19,transmembrane protein 198
Obsl1,1525,1216,1070,1524,obscurin-like 1
Inha,57,68,38,45,inhibin alpha
Stk11ip,1732,300,598,386,serine/threonine kinase 11 interacting protein
Slc4a3,120,458,237,257,"solute carrier family 4 (anion exchanger), member 3"
Epha4,69,173,13,40,Eph receptor A4
Pax3,0,0,881,0,paired box 3
Gm2102,0,0,6,0,predicted gene 2102
Sgpp2,7,0,21,1,sphingosine-1-phosphate phosphatase 2
Farsb,1835,1339,2693,1746,"phenylalanyl-tRNA synthetase, beta subunit"
Mogat1,0,1,7,0,monoacylglycerol O-acyltransferase 1
Acsl3,872,672,1540,1233,acyl-CoA synthetase long-chain family member 3
Utp14b,146,129,228,228,UTP14B small subunit processome component
Kcne4,249,149,22,58,"potassium voltage-gated channel, Isk-related subfamily, gene 4"
Scg2,0,2,0,1,secretogranin II
Ap1s3,88,70,100,28,"adaptor-related protein complex AP-1, sigma 3"
Wdfy1,321,902,539,451,WD repeat and FYVE domain containing 1
Mrpl44,460,356,755,367,mitochondrial ribosomal protein L44
Serpine2,161,4610,2117,1343,"serine (or cysteine) peptidase inhibitor, clade E, member 2"
Fam124b,0,4,0,0,"family with sequence similarity 124, member B"
Cul3,1975,2482,2977,2526,cullin 3
Dock10,31,49,118,76,dedicator of cytokinesis 10
Nyap2,0,0,0,0,neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2
Irs1,422,582,659,644,insulin receptor substrate 1
Rhbdd1,409,663,1570,587,rhomboid domain containing 1
Col4a4,74,67,62,6,"collagen, type IV, alpha 4"
Col4a3,45,109,14,4,"collagen, type IV, alpha 3"
Mff,1156,1263,1766,1252,mitochondrial fission factor
Tm4sf20,1,2,0,3,transmembrane 4 L six family member 20
Agfg1,1493,2211,2548,1754,ArfGAP with FG repeats 1
Slc19a3,7,5,13,4,"solute carrier family 19, member 3"
Krtap28-13,0,0,0,0,keratin associated protein 28-13
Ccl20,10,6,5,3,C-C motif chemokine ligand 20
Daw1,1,0,1,0,dynein assembly factor with WDR repeat domains 1
Sphkap,0,10,0,0,"SPHK1 interactor, AKAP domain containing"
Pid1,20,130,31,84,phosphotyrosine interaction domain containing 1
Dner,5,30,0,22,delta/notch-like EGF repeat containing
Gm57795,0,0,0,0,"predicted gene, 57795"
Trip12,3577,5851,5525,5218,thyroid hormone receptor interactor 12
Fbxo36,43,35,79,53,F-box protein 36
Slc16a14,0,0,4,0,"solute carrier family 16 (monocarboxylic acid transporters), member 14"
Sp140l1,1,1,0,1,Sp140 nuclear body protein like 1
Gm38510,0,0,0,1,"predicted gene, 38510"
Gm53253,15,29,9,15,"predicted gene, 53253"
Gm7609,6,1,0,0,predicted pseudogene 7609
Sp140l2,3,0,0,2,Sp140 nuclear body protein like 2
Gm53567,0,0,0,2,"predicted gene, 53567"
Gm7592,5,0,0,2,predicted gene 7592
Gm2427,68,82,42,88,predicted gene 2427
Sp110,346,14,14,9,Sp110 nuclear body protein
Sp140,287,130,75,104,Sp140 nuclear body protein
Sp100,422,94,90,76,nuclear antigen Sp100
